fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,095,453,G,1040,G,8829,G,37184,105,52,11,29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4531,G,43,G,254,G,1058,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45311,G,43,G,254,G,1058,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453110,G,43,G,254,G,1058,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4532,G,196,G,1063,G,4421,19,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45321,G,74,G,479,G,1726,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453210,G,74,G,479,G,1726,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45322,G,122,G,584,G,2695,14,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453220,G,122,G,584,G,2695,14,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4533,J,275,H,2252,H,8601,20,7,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45331,J,275,H,2252,H,8601,20,7,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453310,J,275,H,2252,H,8601,20,7,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4539,G,526,G,5260,G,23104,57,32,4,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45391,G,213,G,1665,H,7136,15,3,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453910,G,213,G,1665,H,7136,15,3,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45399,G,313,G,3595,G,15968,42,29,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453991,J,40,G,462,G,1981,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,453998,H,273,G,3133,G,13987,23,11,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,454,H,663,G,10348,G,41040,61,40,7,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4541,H,474,G,7536,G,29765,37,26,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45411,H,474,G,7536,G,29765,37,26,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,454110,H,474,G,7536,G,29765,37,26,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4542,G,16,G,114,G,499,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45421,G,16,G,114,G,499,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
