fips,county_name,statecode,state,STATE_FIPS,County_FIPS,region,czcty,fema,watershed,shore,shore100,Warehousing_TR_60,Minerals_LDB,urbaninfluence,NonParticipating,ruralurban,Warehousing_NAICS
34029,Ocean,34,NJ,34,29,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34033,Salem,34,NJ,34,33,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,4
34035,Somerset,34,NJ,34,35,Mid-Atlantic,1,1,1,0,0,0,0,1,0,1,4
34039,Union,34,NJ,34,39,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
36001,Albany,36,NY,36,1,Mid-Atlantic,1,0,1,0,0,0,0,2,1,2,6
36005,Bronx,36,NY,36,5,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
36011,Cayuga,36,NY,36,11,Great Lakes,1,1,1,1,0,0,0,5,1,4,4
36013,Chautauqua,36,NY,36,13,Great Lakes,1,1,1,1,0,1,0,3,1,4,6
36027,Dutchess,36,NY,36,27,Mid-Atlantic,1,1,1,0,0,0,0,2,1,2,4
36029,Erie,36,NY,36,29,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
36045,Jefferson,36,NY,36,45,Great Lakes,1,1,1,1,0,1,0,5,1,3,6
36047,Kings,36,NY,36,47,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
36055,Monroe,36,NY,36,55,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
36059,Nassau,36,NY,36,59,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
36061,New York,36,NY,36,61,Mid-Atlantic,1,1,1,1,1,1,0,1,1,1,6
36063,Niagara,36,NY,36,63,Great Lakes,1,1,1,1,0,1,0,1,1,1,4
36071,Orange,36,NY,36,71,Mid-Atlantic,1,1,1,0,0,0,0,2,1,2,6
36073,Orleans,36,NY,36,73,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
36075,Oswego,36,NY,36,75,Great Lakes,1,1,1,1,0,1,0,2,1,2,4
36079,Putnam,36,NY,36,79,Mid-Atlantic,1,1,1,0,0,0,0,1,1,1,6
36081,Queens,36,NY,36,81,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
36085,Richmond,36,NY,36,85,Mid-Atlantic,1,1,1,1,1,1,0,1,1,1,6
36087,Rockland,36,NY,36,87,Mid-Atlantic,1,1,1,0,0,0,0,1,1,1,4
36089,St. Lawrence,36,NY,36,89,Great Lakes,1,0,1,0,0,0,0,8,1,4,6
36103,Suffolk,36,NY,36,103,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
36111,Ulster,36,NY,36,111,Mid-Atlantic,1,1,1,0,0,1,0,2,1,3,4
36117,Wayne,36,NY,36,117,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
36119,Westchester,36,NY,36,119,Mid-Atlantic,1,1,1,1,0,1,0,1,1,1,6
